symbol,rmse_original,rmse_scaled,spearman_corr,avg_confidence,avg_target,n_observations,n_unique_preds
BP,0.00015322438919106198,0.00015192080565996376,0.5964382301526536,100.21576494573647,0.0003722606087806606,5959.0,1141.0
BPMC,0.00045281675223114113,0.0004589551553838099,0.46160338053804556,2.8329562610064927,0.0008368608375847912,4689.0,1254.0
BPOP,0.00031725793313163955,0.0003211887350522225,0.5171343419588609,6.64544058551609,0.0005180484566058774,4374.0,1163.0
BRK.B,0.00012727505954339264,0.00012692511436593847,0.6330345255906384,152.21707788431877,0.00032794377310151155,6227.0,1059.0
BRKR,0.00036833096843102644,0.00037730681923571735,0.5095850467044568,5.436778058781216,0.0007159000309576006,5417.0,1324.0
BRO,0.0006171209349654089,0.0006156281376761706,0.6094170243714502,80.76645925562516,0.0004090921378539914,3377.0,905.0
BROS,0.00044630621268032733,0.000459623433548236,0.5085039935940092,3.899635510100532,0.0009298279656367183,970.0,432.0
BRZE,0.00045334749759055084,0.0004640749033366674,0.5494991826857341,3.4769337286025697,0.0009267067993851232,3701.0,1137.0
BSX,0.00040242134231305244,0.0004020290641892064,0.6045184516796334,102.06392431932794,0.00042600033765571025,6243.0,1283.0
BSY,0.0003831560904556936,0.00038557199537923577,0.4470936102935226,13.882178133149093,0.0004947818865743692,4117.0,1116.0
BTBT,0.0009817641347216958,0.0009570168279741043,0.6341616511969411,0.541763904402516,0.0026909055501203897,1772.0,628.0
BTC,0.0003897044970932471,0.00039508939864387436,0.2534291014830415,3.259158148054491,0.0009185374110885912,114.0,57.0
BTCT,0.004056801968390711,0.0039187804531985665,0.5274346145855121,0.011412609639431073,0.005788415854692264,531.0,128.0
BTDR,0.0013124189745246275,0.001267783322478074,0.6528741557144462,0.5293448788568065,0.0030062284483878404,2432.0,782.0
BTI,0.00013729259371158718,0.0001368393338068147,0.5718549136942809,150.34860792940816,0.0002739123393311598,5356.0,836.0
BUD,0.00030704919617839595,0.00030646966303886586,0.6187928772292224,143.4553041181628,0.00031100039405575235,3095.0,735.0
BURL,0.0008766036405006798,0.0008763460234711463,0.5122967028015553,8.027000841943694,0.0005699270109784508,5256.0,1322.0
BWIN,0.0008176241530312279,0.0008070243781196973,0.6015339698840338,2.4299021760564217,0.0011419421575392294,664.0,301.0
BWXT,0.0007160859208753706,0.0007158457461309666,0.5217995565533734,7.017884097543887,0.0005836503006051936,1094.0,454.0
BX,0.0003566153015800897,0.000354984897334925,0.6345988160790555,23.06909817572349,0.0005644847772740109,6108.0,1416.0
